name,players,information,lives,moves,score
random,5,8,0,13,3
internal,5,1,3,56,11
outer,5,0,3,57,11
cautious,5,0,3,58,11
pure_random,2,8,0,6,1
random,2,8,0,16,2
internal,2,1,3,73,14
outer,2,0,3,76,12
cautious,2,1,3,73,15
pure_random,3,6,0,5,0
random,3,8,0,2,1
internal,3,1,3,63,15
outer,3,0,3,64,14
cautious,3,1,3,61,17
pure_random,4,6,0,15,1
random,4,8,0,2,0
internal,4,1,3,61,14
outer,4,0,3,65,12
cautious,4,1,3,62,14
pure_random,5,7,0,12,1
random,5,8,0,9,1
internal,5,1,3,56,11
outer,5,1,3,58,9
cautious,5,1,3,57,10
pure_random,2,4,0,19,2
random,2,6,0,9,0
internal,2,1,3,76,12
outer,2,1,3,72,15
cautious,2,8,3,66,15
pure_random,3,7,0,18,0
random,3,7,0,10,1
internal,3,1,3,66,12
outer,3,1,3,63,14
cautious,3,1,3,62,15
pure_random,4,5,0,9,2
random,4,8,0,11,1
internal,4,1,3,63,12
outer,4,1,3,64,11
cautious,4,1,3,62,13
pure_random,5,8,0,2,0
random,5,8,0,4,1
internal,5,1,3,57,10
outer,5,1,3,57,10
cautious,5,0,3,56,12
pure_random,2,8,0,9,0
random,2,6,0,10,0
internal,2,1,3,78,9
outer,2,1,3,74,14
cautious,2,5,3,68,16
pure_random,3,4,0,8,1
random,3,5,0,15,1
internal,3,1,3,63,14
outer,3,0,3,66,13
cautious,3,2,3,63,14
pure_random,4,5,0,13,0
random,4,8,0,18,5
internal,4,0,3,64,12
outer,4,1,3,62,13
cautious,4,1,3,61,14
pure_random,5,6,0,19,0
random,5,8,0,3,0
internal,5,1,3,56,12
outer,5,1,3,56,11
cautious,5,1,3,58,9
pure_random,2,3,0,10,0
random,2,8,0,14,1
internal,2,0,3,76,12
outer,2,0,3,71,18
cautious,2,3,3,71,15
pure_random,3,7,0,7,0
random,3,7,0,4,0
internal,3,0,3,65,13
outer,3,1,3,63,14
cautious,3,1,3,64,13
pure_random,4,5,0,13,0
random,4,8,0,6,3
internal,4,1,3,62,13
outer,4,0,3,61,15
cautious,4,1,3,63,13
pure_random,5,8,0,3,0
random,5,8,0,16,4
internal,5,1,3,56,11
outer,5,1,3,57,10
